COD,First_NOM_,First_DIR_,First_POB_,First_POB1,UTM_X,UTM_Y,LONG,LAT,LAT_LON,LONGDEC,LATDEC
57,Pabellón Barrio de La Salud,"C/. José Fonspertius, s/n", ,Santa Cruz de Tenerife,375510.699977,3150280.59144,"16º 16' 18.02377""","28º 28' 23.48485""",28º 28' 23.48'' N   16º 16' 18.02'' W,-16.2716732694,28.4731902222
58,Pabellón Escuela Náutica ULL,"Vía de Servicio Paso Alto, 2", ,Santa Cruz de Tenerife,378642.83483,3151221.68614,"16º 14' 23.22075""","28º 28' 55.12286""",28º 28' 55.12'' N   16º 14' 23.22'' W,-16.2397835417,28.4819785556
59,Pabellón I.E.S. Alcalde Bernabé Rodríguez,"Avda. San Sebastián, 7", ,Santa Cruz de Tenerife,377565.579985,3149106.63212,"16º 15' 02.02248""","28º 27' 46.04564""",28º 27' 46.05'' N   16º 15' 2.02'' W,-16.2505618,28.4627904444
60,Pabellón I.E.S. Anaga,"Ctra. Tahodio, s/n",Barrio de La Alegría,Santa Cruz de Tenerife,377927.803419,3151731.40268,"16º 14' 49.70738""","28º 29' 11.44221""",28º 29' 11.44'' N   16º 14' 49.71'' W,-16.2471409389,28.4865117222
61,Pabellón I.E.S. Las Veredillas,"Avda. Las Hespérides, 1", ,Santa Cruz de Tenerife,371893.258656,3146895.28645,"16º 18' 29.67060""","28º 26' 32.24264""",28º 26' 32.24'' N   16º 18' 29.67'' W,-16.3082418333,28.4422896111
62,Pabellón Municipal de Deportes de S/C Tenerife,"C/. Doctor Fernando Barajas Prat, s/n", ,Santa Cruz de Tenerife,376596.517142,3149045.1979,"16º 15' 37.62506""","28º 27' 43.72092""",28º 27' 43.72'' N   16º 15' 37.63'' W,-16.2604514056,28.4621446944
63,Pabellón Paco Álvarez,C/. La Mutine, ,Santa Cruz de Tenerife,376496.120221,3149114.35837,"16º 15' 41.34267""","28º 27' 45.93359""",28º 27' 45.93'' N   16º 15' 41.34'' W,-16.261484075,28.4627593056
64,Pabellón Real Club Naútico de Tenerife,"Avda. Francisco la Roche, s/n", ,Santa Cruz de Tenerife,378425.287805,3150937.45404,"16º 14' 31.11201""","28º 28' 45.81563""",28º 28' 45.82'' N   16º 14' 31.11'' W,-16.2419755583,28.4793932222
65,Pabellón Sergio Rodríguez (Casa Cuna),"C/. Diego Almagro, 1",Ofra,Santa Cruz de Tenerife,374813.76007,3147834.60523,"16º 16' 42.69158""","28º 27' 03.77949""",28º 27' 3.78'' N   16º 16' 42.69'' W,-16.2785254389,28.4510498333
66,Pabellón Fernando Luis González (El Casco),"C/. Tosca la Iglesia, 37", ,Santa Úrsula,353965.698609,3145114.34102,"16º 29' 27.76990""","28º 25' 27.61061""",28º 25' 27.61'' N   16º 29' 27.77'' W,-16.4910471944,28.4243362778
67,Pabellón Francisco Julián Martín González,"C/. Candelaria, s/n",Arguayo,Santiago del Teide,322899.456409,3128462.33532,"16º 48' 20.08682""","28º 16' 12.91437""",28º 16' 12.91'' N   16º 48' 20.09'' W,-16.8055796722,28.2702539722
68,Pabellón Municipal de Tamaimo,Ctra. General de Tamaimo a Pto. Santiago,Tamaimo,Santiago del Teide,321546.834375,3127785.80997,"16º 49' 09.33807""","28º 15' 50.28199""",28º 15' 50.28'' N   16º 49' 9.34'' W,-16.819260575,28.2639671944
69,Colegio Tacoronte,"C/. Teobaldo Power, 17", ,Tacoronte,361429.658692,3151305.50079,"16º 24' 56.16696""","28º 28' 51.66515""",28º 28' 51.67'' N   16º 24' 56.17'' W,-16.4156019333,28.4810180833
70,"Pabellón Lorenzo Javier Jorge, ""Loren""",Camino Real,Agua García,Tacoronte,362560.083803,3149725.30884,"16º 24' 13.92505""","28º 28' 00.76168""",28º 28' .76'' N   16º 24' 13.93'' W,-16.4038680694,28.4668782222
71,Pabellón Municipal de Tacoronte,"C/. Pérez Reyes, s/n", ,Tacoronte,362170.274233,3151189.41464,"16º 24' 28.88629""","28º 28' 48.17674""",28º 28' 48.18'' N   16º 24' 28.89'' W,-16.4080239694,28.4800490833
72,C.E.I.P. María del Carmen Fernández Melián,"C/. Los Sabandeños, 8", ,Tegueste,368304.571671,3156084.18239,"16º 20' 45.35877""","28º 31' 29.47625""",28º 31' 29.48'' N   16º 20' 45.36'' W,-16.3459329917,28.5248545
73,Pabellón I.E.S. Tegueste,"Ctra. General TF-13, nº 178", ,Tegueste,369698.98085,3155530.18911,"16º 19' 53.84070""","28º 31' 11.98427""",28º 31' 11.98'' N   16º 19' 53.84'' W,-16.3316224167,28.5199956111
